cvss_score,epss_score,kev_status,internet_exposed,patch_available,asset_criticality,control_effectiveness,open_vulnerability_count,high_vulnerability_count,business_criticality,exploited
0.74,0.0063,0,0,0,2,0.4794,1,0,1,0
8.31,0.1027,0,1,1,0,0.561,1,1,1,1
6.69,0.0203,0,0,1,0,1.0,3,2,1,0
5.84,0.2801,0,0,1,1,0.4687,1,1,1,0
6.7,0.0176,0,0,1,2,0.3806,1,1,3,0
2.13,0.0293,0,0,1,0,0.5118,1,2,0,0
6.02,0.1345,0,1,1,2,0.9254,3,3,1,1
7.29,0.0026,0,0,1,2,0.9433,2,2,1,1
9.75,0.0584,0,0,1,1,1.0,2,2,1,1
5.36,0.3083,1,1,1,0,0.5652,2,1,0,1
4.72,0.0018,0,1,1,3,0.7104,2,1,1,0
5.4,0.8373,0,1,1,1,0.2875,3,2,1,1
8.51,0.0601,0,0,1,1,0.4616,5,1,1,0
7.22,0.0134,0,0,1,3,0.2712,1,1,1,1
5.33,0.0022,0,0,1,2,0.6683,7,0,1,0
7.63,0.0533,0,0,1,1,0.5596,2,2,0,0
6.71,0.1003,0,0,1,1,0.6065,1,2,2,0
8.63,0.0499,1,1,0,0,0.3384,1,0,0,1
4.96,0.5998,0,1,1,3,0.7627,2,3,2,1
5.78,0.6085,0,0,1,2,0.0,3,0,1,1
5.64,0.028,0,0,1,1,0.487,6,3,0,0
3.28,0.2619,0,0,1,2,0.5233,2,1,0,0
7.15,0.3906,0,1,1,2,0.0446,2,2,0,1
7.07,0.454,0,1,1,1,0.646,4,0,1,1
6.51,0.026,1,0,1,2,0.5067,0,1,2,1
5.98,0.005,0,1,0,1,0.6903,1,1,2,1
3.39,0.5944,0,0,1,2,1.0,2,1,1,0
5.57,0.1079,0,0,1,0,0.6312,0,2,2,0
5.75,0.5215,0,0,1,2,0.7932,3,2,2,0
4.73,0.0679,0,0,1,1,0.8952,2,3,2,0
6.15,0.0306,0,0,1,0,0.673,1,1,1,0
7.39,0.0515,0,0,1,0,0.3335,4,0,2,0
10.0,0.8509,0,0,1,2,0.14,2,1,1,1
6.88,0.0195,1,0,1,1,0.6436,1,1,1,1
7.07,0.0022,0,1,1,2,0.4499,3,0,2,1
6.34,0.0428,0,0,1,1,0.8709,3,0,3,0
2.28,0.8196,1,1,1,2,0.4312,1,2,1,1
6.44,0.012,1,0,1,1,0.5464,5,2,1,1
6.63,0.1778,0,0,1,1,0.2602,4,2,0,0
10.0,0.0085,0,0,1,0,0.464,0,1,1,0
6.08,0.3204,0,0,0,1,0.3143,1,2,1,1
7.16,0.2599,0,0,1,2,0.3371,4,0,1,1
6.42,0.0997,0,0,1,2,0.5368,4,1,2,1
3.93,0.3351,1,1,1,0,0.3983,7,1,1,1
9.01,0.0728,0,1,0,2,1.0,5,0,1,1
8.15,0.245,0,1,1,0,0.759,3,0,1,1
8.24,0.025,0,0,0,1,0.8212,1,0,2,1
4.5,0.0104,0,0,1,1,0.5223,4,1,2,0
9.59,0.1656,0,0,1,1,0.5764,4,4,2,1
3.42,0.0004,0,1,0,2,0.4426,3,0,3,1
7.79,0.0396,0,1,0,3,1.0,6,1,1,1
10.0,0.0018,0,1,1,0,0.5228,4,1,0,1
4.32,0.3869,0,0,1,1,0.3991,5,0,1,0
5.25,0.0719,0,0,1,3,0.3615,3,1,3,1
6.72,0.1641,0,0,1,0,0.6338,3,1,1,0
5.39,0.0003,0,0,1,1,0.9053,5,0,2,0
3.09,0.1351,1,0,1,0,0.8217,1,0,1,0
6.65,0.5035,1,0,1,2,0.3609,2,0,1,1
4.16,0.6906,0,0,1,2,0.3548,2,1,3,1
7.54,0.0737,0,0,0,2,0.8616,2,1,1,1
4.48,0.0196,0,0,1,1,1.0,3,0,2,0
9.91,0.1241,1,1,0,2,0.5137,1,0,1,1
4.78,0.2471,0,0,1,0,0.8517,3,2,2,1
5.79,0.6127,0,0,1,3,0.1835,4,0,1,1
8.29,0.0907,0,1,0,1,0.3391,5,2,2,1
3.79,0.1492,0,0,1,0,0.2976,3,1,1,0
7.0,0.0383,0,0,1,3,0.6531,1,2,1,0
9.38,0.0422,0,1,0,2,0.5053,3,4,0,1
2.96,0.0165,0,0,1,2,0.6095,1,1,0,0
6.91,0.0259,0,0,1,0,0.8548,2,0,1,0
7.07,0.0123,0,0,0,2,0.3867,1,0,1,1
8.22,0.4473,0,0,0,2,0.5735,3,0,0,1
3.78,0.2847,0,0,0,2,0.2155,3,1,1,1
3.59,0.0457,0,0,1,3,0.8409,2,0,3,0
7.65,0.1062,0,0,0,0,0.8241,4,0,1,0
7.15,0.4837,1,1,0,1,0.6405,3,2,1,1
7.05,0.1906,0,0,1,2,0.58,3,1,1,0
7.26,0.0001,0,1,0,1,0.4227,1,1,1,1
5.0,0.4066,0,0,1,0,0.2011,6,1,1,0
7.01,0.0041,1,0,0,0,0.6264,1,0,2,1
7.14,0.434,0,0,0,2,0.7391,3,1,3,1
4.93,0.1972,0,1,1,1,1.0,1,0,2,1
10.0,0.0007,0,1,0,0,0.4516,1,1,0,1
7.54,0.1012,0,0,0,1,0.6175,2,0,1,0
3.88,0.0567,0,0,1,1,0.8286,2,2,1,0
7.94,0.2161,1,1,0,0,0.8361,1,1,3,1
4.36,0.244,0,1,1,0,0.3944,4,1,2,1
8.23,0.5323,1,0,0,2,0.4802,1,2,2,1
9.05,0.0431,0,0,1,0,0.4187,5,0,1,0
4.69,0.0222,1,1,0,2,0.3245,1,0,2,1
8.62,0.0354,0,0,1,2,0.9179,2,2,2,0
7.41,0.3345,0,1,1,1,0.5657,4,2,1,1
8.31,0.0753,0,0,1,1,0.5314,2,0,2,0
10.0,0.0025,0,1,1,2,0.6119,5,0,0,1
5.96,0.0802,0,0,1,1,0.5634,1,2,3,0
4.84,0.1098,0,0,1,0,0.4948,1,3,2,1
4.54,0.081,0,0,1,1,0.3596,3,1,1,0
4.71,0.0041,0,1,1,0,0.9413,1,3,2,0
6.33,0.2519,0,1,1,1,0.4074,2,2,2,1
7.25,0.0179,0,1,1,1,0.3174,2,2,1,0
7.11,0.1821,1,1,1,1,0.5299,1,0,2,1
8.32,0.1288,1,0,0,2,1.0,3,1,1,0
6.53,0.114,0,0,1,3,0.3446,3,1,1,1
9.7,0.0007,0,1,1,1,0.7274,2,3,1,1
5.92,0.0168,0,1,0,1,0.4884,1,0,0,0
10.0,0.254,0,0,1,2,0.6112,0,0,2,1
7.88,0.0282,0,0,1,1,0.7805,1,2,1,0
4.61,0.5439,0,0,1,1,0.1201,2,1,2,0
4.14,0.0418,0,0,0,2,0.3259,4,1,1,1
7.56,0.0957,0,1,0,2,0.777,4,1,1,1
6.01,0.2638,0,1,0,1,0.5744,3,2,1,1
8.07,0.6358,1,1,0,0,0.603,2,0,2,1
7.54,0.0137,0,1,1,1,0.7278,1,0,2,0
6.34,0.0189,0,0,1,1,0.3276,2,0,1,1
4.64,0.0037,0,0,1,1,0.8138,2,3,2,0
3.17,0.3823,0,1,0,1,0.7549,3,1,1,0
5.52,0.0085,0,0,0,1,0.6096,1,2,2,0
8.38,0.0852,0,0,1,1,0.667,2,1,2,1
6.97,0.2451,0,1,1,1,0.8412,3,1,1,0
3.76,0.2191,0,1,1,3,0.4015,4,1,2,1
6.88,0.1509,0,1,1,2,0.7153,3,0,1,1
7.35,0.5444,0,1,1,2,0.9861,1,4,2,1
4.56,0.0608,0,0,0,1,0.7102,3,1,2,0
6.84,0.0062,0,0,1,1,0.4944,1,0,1,0
6.63,0.3759,0,1,0,2,1.0,6,4,1,1
3.99,0.1325,0,1,1,2,0.6077,4,0,3,1
7.29,0.1148,0,0,1,2,0.8996,3,1,0,0
7.73,0.1773,0,0,1,0,0.4446,1,0,2,0
8.88,0.0089,0,1,0,2,0.817,1,1,1,1
8.82,0.1106,0,0,1,3,0.4134,2,2,2,1
3.47,0.2276,0,1,0,0,0.6308,1,1,1,0
4.44,0.1884,0,0,0,1,0.3983,1,0,1,1
7.63,0.0053,0,0,1,1,1.0,7,0,1,0
7.63,0.5257,0,1,1,2,0.4947,3,0,3,1
7.63,0.2821,0,0,1,0,0.273,3,2,0,1
10.0,0.1346,0,0,1,2,0.5738,2,2,1,1
7.76,0.0095,0,1,0,0,0.6843,3,1,1,1
9.0,0.0191,0,1,0,2,0.5433,2,1,2,1
8.6,0.0122,0,0,0,0,0.3467,3,0,1,1
7.93,0.1378,0,0,1,0,0.8093,1,1,1,0
5.81,0.0009,0,0,1,2,0.8648,1,2,1,0
8.17,0.0221,1,0,1,2,0.138,4,4,1,1
4.8,0.3247,0,0,1,3,0.3307,1,1,0,1
5.98,0.9333,0,0,1,0,0.5101,2,1,1,1
5.43,0.0757,0,0,1,1,0.4173,5,1,1,0
6.68,0.5149,0,0,0,0,0.6815,2,0,1,0
10.0,0.5539,0,0,1,0,1.0,1,1,1,0
2.39,0.17,0,0,1,0,0.4548,3,0,1,0
8.01,0.1691,0,1,1,0,0.9442,3,0,2,0
2.95,0.0054,0,1,0,2,0.1829,3,0,2,0
5.46,0.0773,0,0,0,0,0.664,2,1,0,0
8.9,0.0649,0,1,1,2,0.4013,1,2,2,1
6.64,0.3454,0,1,0,2,0.6693,3,0,0,1
4.13,0.4511,0,0,1,0,0.1108,3,1,1,1
4.93,0.0107,0,0,0,3,0.2287,2,0,2,1
8.0,0.0092,0,0,1,1,0.6688,3,2,1,1
4.89,0.0469,0,0,1,3,0.3925,0,1,1,0
6.98,0.7763,0,0,1,3,0.4692,5,0,3,1
6.6,0.0352,0,1,1,3,1.0,2,1,0,0
5.07,0.2612,0,1,1,2,0.5844,3,1,0,1
10.0,0.1116,0,1,1,1,0.7754,4,2,2,1
7.89,0.2651,0,1,1,0,0.3602,3,1,2,0
2.04,0.0272,1,1,0,1,0.2147,1,1,1,1
6.91,0.0124,0,0,0,1,0.5298,1,0,1,0
5.04,0.0039,0,0,0,2,0.1774,3,1,1,0
8.38,0.0604,0,0,0,2,0.3754,2,0,2,0
4.76,0.0803,1,1,1,1,0.6094,0,2,1,0
6.25,0.208,1,0,1,0,0.5222,6,3,1,1
7.61,0.1106,0,1,1,1,0.6336,1,0,0,0
8.4,0.0415,0,1,0,1,0.7001,3,1,2,1
3.86,0.1514,0,0,1,0,0.2511,5,1,2,0
5.76,0.0555,0,0,1,2,0.3145,3,3,1,1
5.46,0.5586,1,1,1,2,0.0054,5,0,2,1
5.06,0.1303,0,0,1,0,0.4574,3,2,1,0
10.0,0.0371,0,0,1,1,0.7342,0,1,2,1
7.39,0.053,0,1,1,2,0.9228,2,0,2,1
3.73,0.285,1,1,1,1,0.5976,1,0,2,1
8.52,0.5447,0,0,1,3,0.8933,2,0,2,1
10.0,0.3977,0,1,1,0,0.646,3,1,1,1
8.77,0.6615,0,0,0,1,0.5769,1,0,1,1
3.16,0.0001,1,1,1,2,0.3972,4,1,2,1
5.43,0.0199,0,1,1,1,0.0,6,0,1,1
9.29,0.0235,1,0,0,1,0.8558,2,2,0,1
4.94,0.1202,0,0,0,2,0.5367,2,1,1,0
7.48,0.1694,0,1,1,2,0.8971,4,0,2,1
8.2,0.4907,0,0,1,0,0.3126,4,0,2,1
4.46,0.0645,0,0,1,1,1.0,3,0,1,0
6.37,0.001,0,0,0,1,0.4878,2,0,1,0
0.0,0.3514,0,0,1,2,0.377,3,1,1,0
4.25,0.0636,0,1,1,1,0.4964,1,1,1,0
5.94,0.0073,0,0,1,2,0.5926,4,1,2,0
3.75,0.1715,0,1,1,2,0.5325,2,1,1,0
10.0,0.0697,0,0,1,1,0.4212,3,1,0,0
3.35,0.0889,0,1,0,1,0.0991,2,1,1,1
5.53,0.6598,0,0,0,1,0.3489,3,1,1,0
6.79,0.0026,0,0,0,1,0.8186,3,1,1,0
9.67,0.1275,1,1,1,2,0.3301,5,0,3,1
3.34,0.3394,0,0,1,2,0.1208,4,1,2,0
9.06,0.0136,0,0,1,1,0.2861,3,1,1,1
6.52,0.3675,0,1,1,2,0.5278,2,0,1,1
4.34,0.0375,0,1,1,1,0.3602,4,2,1,0
7.52,0.0229,0,1,0,0,0.48,1,1,2,1
6.94,0.0137,0,0,0,1,0.3504,1,2,2,1
5.18,0.1426,0,0,1,1,0.8024,0,1,1,0
6.65,0.0034,0,0,1,1,0.6727,3,0,1,0
5.65,0.0729,0,1,1,2,1.0,4,1,1,1
6.75,0.1212,0,1,0,1,0.4546,3,1,1,0
7.96,0.0002,1,0,1,3,0.4788,3,1,0,1
9.99,0.0603,0,0,1,0,0.8459,3,1,1,0
3.78,0.0351,0,0,1,2,0.6478,1,0,3,0
10.0,0.0014,0,0,1,2,0.3146,1,0,2,1
2.21,0.1217,0,0,1,1,0.6891,6,2,2,0
6.17,0.0007,0,1,1,0,0.6491,2,1,1,0
7.79,0.0143,0,1,1,1,0.1016,0,2,2,1
7.12,0.3385,0,1,1,3,0.3872,1,2,2,1
5.13,0.0509,0,1,0,2,0.5976,3,4,0,1
6.04,0.2418,0,1,1,2,0.9116,1,0,2,0
5.42,0.1863,1,1,1,2,0.7245,0,1,0,1
5.2,0.0291,1,0,0,0,0.409,3,2,3,1
8.37,0.4562,0,0,1,1,0.3729,5,0,0,0
7.29,0.1387,0,0,1,0,0.7494,3,0,1,0
4.98,0.0002,0,1,0,1,0.0,1,2,0,0
8.48,0.1252,0,1,1,2,0.3481,2,1,0,0
7.18,0.5446,0,0,0,2,0.9023,5,0,2,1
8.29,0.1382,0,1,1,3,0.6242,1,2,0,0
7.89,0.2091,1,0,1,0,0.3603,3,1,2,1
4.68,0.0,0,1,1,1,0.2495,1,2,3,0
5.27,0.0331,0,1,1,2,0.7599,6,2,3,1
8.14,0.257,0,1,1,1,0.5695,3,1,2,1
7.84,0.0827,0,1,1,0,0.4953,2,1,3,0
6.45,0.0301,1,0,1,1,0.6435,6,2,0,1
6.76,0.1392,0,0,1,1,0.5911,2,0,3,0
9.31,0.0332,0,0,0,3,0.572,2,0,0,0
5.2,0.0032,0,0,1,1,0.219,1,2,1,0
7.7,0.2898,1,1,0,2,0.2934,1,0,0,1
6.06,0.4875,0,0,0,2,0.7371,3,1,2,1
6.02,0.0145,0,1,0,0,0.6898,1,0,0,0
8.92,0.1583,0,1,0,2,0.6455,4,1,1,0
8.32,0.4482,0,0,1,1,0.4034,2,2,2,0
8.29,0.1572,1,0,1,0,0.7413,2,0,1,1
9.37,0.1314,0,0,1,2,0.4573,3,3,0,0
6.55,0.0133,0,0,1,1,0.8754,2,1,1,0
8.0,0.0039,0,0,1,1,0.3633,2,2,1,0
5.82,0.0002,1,0,1,1,0.4187,2,0,1,1
7.21,0.0046,0,0,1,1,0.5121,4,0,1,0
6.21,0.8076,0,1,0,1,0.7618,6,1,3,1
6.71,0.0226,0,1,1,1,0.5412,1,0,2,0
7.81,0.4774,0,1,1,1,0.5594,0,1,0,0
4.7,0.0147,1,0,1,3,0.4521,2,1,1,1
10.0,0.1033,0,1,1,1,0.617,2,2,3,1
4.29,0.2312,0,1,1,0,0.5323,5,1,1,0
3.83,0.0322,0,1,1,0,0.3539,2,2,2,0
9.05,0.2072,0,0,1,2,0.5818,3,4,1,0
8.24,0.0854,0,1,1,1,0.5877,5,0,2,1
7.87,0.0876,0,1,1,3,1.0,0,0,0,1
7.88,0.1993,0,0,1,2,0.3972,4,0,2,1
6.47,0.0049,0,0,1,0,0.3402,4,1,2,0
4.53,0.0234,0,1,0,0,0.6198,2,1,1,0
6.67,0.0007,1,0,1,1,0.3018,5,3,1,1
5.01,0.3055,1,0,1,2,0.2817,0,2,1,1
8.65,0.0439,0,0,1,0,0.1908,2,1,2,1
6.18,0.1885,0,1,1,2,0.3564,2,1,3,0
4.68,0.1622,0,1,1,2,0.3625,5,2,1,1
5.79,0.0277,0,0,1,2,0.2292,3,2,2,0
7.41,0.0007,0,1,1,2,0.4874,5,1,2,1
5.26,0.1264,0,0,1,2,0.0,0,1,1,1
4.69,0.0,0,1,1,0,0.6729,1,1,2,0
7.04,0.058,0,0,0,1,0.4108,3,0,1,0
7.04,0.0224,0,1,1,0,0.4476,5,2,1,1
5.38,0.2085,0,0,1,0,0.6967,2,3,3,0
5.46,0.0077,0,0,0,3,0.6429,2,0,1,0
7.01,0.0788,0,0,1,1,0.3925,2,1,0,1
3.31,0.6322,0,1,1,2,0.6629,3,1,2,1
3.4,0.2748,0,1,0,2,0.9372,4,2,1,1
4.92,0.2927,0,0,1,2,0.297,1,1,0,0
6.03,0.0005,0,0,0,1,0.7384,2,0,0,0
7.18,0.0101,0,1,0,1,0.2717,1,0,1,1
9.75,0.0005,0,1,1,1,0.8439,2,2,0,1
8.39,0.0305,0,0,1,3,0.372,2,0,2,1
6.15,0.248,0,0,0,0,0.3625,3,1,1,1
6.46,0.0398,0,0,1,0,0.8373,1,0,2,0
4.29,0.1992,0,0,0,1,0.7304,3,1,1,1
6.46,0.5109,0,0,0,1,0.3802,9,2,1,1
5.86,0.0289,1,0,0,1,0.5818,3,2,0,1
7.21,0.0111,1,0,0,3,0.3725,3,1,0,1
4.68,0.3238,0,1,1,2,0.1518,0,1,3,0
7.64,0.2634,0,1,1,2,0.5973,2,2,0,1
9.87,0.0833,0,1,0,1,0.4609,5,0,1,1
6.26,0.0628,0,1,1,1,0.3135,2,0,2,0
7.38,0.5242,1,1,1,2,0.8762,4,0,3,1
8.02,0.3781,0,0,1,2,0.322,1,1,1,1
5.62,0.0707,0,1,1,1,0.586,2,1,1,0
6.99,0.0734,0,0,1,2,0.82,5,0,1,0
6.53,0.0055,0,1,0,3,0.486,1,2,1,1
6.71,0.1009,0,1,1,1,0.3665,3,0,1,0
4.8,0.0005,1,1,0,1,0.6244,1,0,2,1
6.55,0.0073,0,0,0,1,0.6639,2,1,2,1
7.6,0.0649,0,1,1,3,0.7691,2,1,1,1
9.69,0.2423,0,1,1,1,1.0,4,1,2,0
8.61,0.0083,0,0,1,2,0.4357,1,0,0,0
10.0,0.0315,0,1,1,2,0.599,5,1,2,1
4.81,0.2242,0,0,1,1,0.2327,1,1,2,1
8.42,0.1827,0,1,1,1,0.7166,2,0,1,0
6.9,0.0378,1,0,1,1,0.5959,1,1,1,1
10.0,0.0106,0,0,1,2,0.5053,1,2,3,1
4.72,0.1233,0,1,1,2,0.3955,6,0,2,1
4.65,0.3243,0,0,1,2,0.4629,2,2,0,0
5.18,0.0159,0,0,0,0,0.6091,1,1,1,0
1.83,0.4013,0,0,1,0,0.3085,0,2,0,0
5.34,0.1609,0,1,0,2,0.4732,4,1,0,1
4.83,0.2424,1,0,1,1,0.5542,1,0,0,0
6.83,0.1325,0,1,0,0,0.1651,5,0,2,1
7.25,0.0728,0,1,1,0,0.2872,4,1,1,0
10.0,0.0083,0,0,0,1,0.385,1,3,1,1
8.59,0.1145,0,1,1,0,0.9421,4,0,0,0
5.23,0.2593,0,0,0,1,0.3423,0,2,0,1
4.52,0.1772,0,0,1,2,0.5361,3,3,2,0
7.58,0.0942,0,0,1,1,0.2899,1,1,2,0
3.6,0.4718,0,0,0,3,0.3559,4,2,1,1
10.0,0.4322,0,0,1,0,0.1897,1,1,0,0
9.09,0.1392,0,0,1,1,0.7176,6,1,2,1
5.47,0.2177,1,1,1,0,0.2186,3,2,3,1
2.73,0.4223,1,0,1,2,0.7768,2,2,1,0
9.48,0.7138,0,1,0,3,0.667,1,3,0,1
6.25,0.0402,0,0,1,1,0.5311,1,0,2,0
9.22,0.0013,1,0,0,1,0.785,0,2,0,1
2.99,0.6003,0,0,0,1,1.0,3,2,1,0
5.18,0.6052,0,0,0,2,0.6694,2,0,1,0
6.51,0.0679,0,1,0,2,0.27,1,1,1,1
6.6,0.0186,0,0,1,2,0.9223,6,0,3,0
5.51,0.0201,0,0,1,0,0.5965,2,3,2,0
7.87,0.0297,0,0,1,1,1.0,2,0,1,0
4.15,0.1917,0,0,1,2,0.4235,3,1,3,0
6.19,0.0731,0,0,1,2,0.8705,1,0,1,0
6.76,0.0331,0,0,0,1,0.55,2,0,1,0
7.63,0.0996,0,0,0,1,1.0,1,3,1,0
8.07,0.139,0,0,1,3,0.4796,3,0,2,1
4.03,0.2795,0,0,1,0,1.0,3,0,1,0
3.12,0.4484,0,1,1,1,0.66,2,1,3,1
9.31,0.2238,0,0,1,1,0.7617,3,1,1,0
7.23,0.2291,0,0,0,0,0.9751,4,1,2,1
4.85,0.3135,1,0,0,1,0.3531,4,1,2,1
9.91,0.3293,0,0,1,2,0.7923,3,0,2,1
6.75,0.4767,0,0,1,1,0.4768,2,1,1,0
9.09,0.1006,1,0,1,1,0.5878,1,1,2,1
6.65,0.0008,0,0,1,2,0.5708,1,0,0,0
10.0,0.0696,0,0,1,3,0.6931,1,1,2,0
10.0,0.0632,0,1,1,2,0.6825,3,1,2,1
5.95,0.25,0,1,0,2,0.4062,0,0,1,0
8.64,0.0018,0,0,1,3,0.5812,3,1,1,1
7.92,0.2686,0,0,0,2,0.0,6,0,1,0
9.51,0.2845,0,1,0,3,0.7975,3,1,0,1
4.38,0.2084,1,1,1,2,0.9735,2,1,2,1
8.01,0.0015,0,1,1,2,0.5977,3,1,3,1
8.83,0.3759,0,0,1,2,0.1485,5,0,2,1
2.63,0.0095,0,0,0,3,0.7357,2,1,1,0
3.9,0.6046,0,1,1,2,0.3591,4,0,3,1
2.01,0.2843,0,1,0,2,0.5956,6,1,1,1
5.91,0.0363,0,0,1,1,0.7214,1,1,1,0
8.08,0.3235,1,1,1,3,0.6866,4,0,2,1
9.81,0.141,0,0,0,1,0.8202,3,1,1,1
6.66,0.3313,0,0,0,0,0.5866,3,1,3,1
10.0,0.0016,1,0,0,2,0.5933,2,2,2,1
3.46,0.015,0,0,1,1,0.7342,2,0,3,0
2.75,0.0525,0,1,1,0,0.5322,0,1,0,0
6.38,0.0099,0,1,1,1,0.378,4,0,1,0
7.34,0.2728,0,1,1,0,0.663,2,2,2,0
6.43,0.0047,0,0,1,0,0.2678,6,1,1,0
1.95,0.0988,1,0,1,1,0.5298,4,0,2,0
6.3,0.3057,1,0,1,2,0.2056,3,0,2,1
3.63,0.3537,0,0,1,1,0.4113,2,1,2,0
7.97,0.4798,0,1,0,2,0.4217,1,1,1,1
7.31,0.0492,0,0,1,2,0.3039,2,3,2,0
4.43,0.056,0,0,1,1,0.8251,2,1,2,0
5.37,0.0074,0,0,0,2,0.8045,5,1,2,1
4.17,0.1306,0,0,1,1,0.8785,4,1,2,0
6.36,0.0069,0,1,0,2,0.503,0,0,3,1
8.6,0.5648,0,0,0,1,0.4416,1,0,0,1
4.33,0.0,1,1,0,3,0.7509,0,2,3,1
7.61,0.011,0,1,1,0,0.5821,2,3,1,0
5.33,0.4448,0,0,1,1,0.5809,2,2,1,0
4.76,0.2801,0,0,0,1,0.0,4,4,3,1
6.26,0.1158,0,1,0,2,0.7391,2,2,2,1
4.22,0.1122,0,0,1,1,0.706,4,3,0,0
5.28,0.0077,1,1,1,1,0.5486,2,2,1,0
3.86,0.182,0,0,1,1,0.754,1,3,2,0
10.0,0.395,0,0,1,0,0.7004,0,0,1,0
6.58,0.1306,0,1,1,2,0.3758,3,1,2,1
4.96,0.0266,0,0,1,1,0.4951,1,2,2,0
6.97,0.0026,0,0,0,2,0.2981,1,0,3,1
6.25,0.0254,0,0,0,1,0.9156,3,2,1,0
